Age,Gender,Socio_Economic_Status,GPA,Attendance_Rate,Assignments_Submitted,Online_Learning_Hours,Forum_Participation,Lab_Performance,Extracurricular_Participation,At_Risk
25,Male,Low,2.46,62.6,7,9.3,0,26,1,1
20,Male,High,2.81,96,18,4.7,7,69,0,0
24,Female,High,2.54,79.1,4,8.1,0,61,0,0
20,Male,Medium,2.4,76.7,12,1.4,4,31,1,1
24,Female,High,3.57,79.8,15,10.2,5,7,1,0
28,Female,Low,3.82,68.3,0,10.9,2,84,0,0
29,Male,Medium,2.74,90.4,12,14.5,6,17,1,0
19,Female,Low,3.5,76.2,10,3.9,1,77,0,0
27,Female,Low,3.79,55.8,7,0.3,6,14,0,0
23,Male,Medium,3.69,56.5,7,8.2,1,25,1,0
20,Female,High,2.37,76.8,13,10.6,4,52,1,1
20,Male,Low,3.91,96.8,12,11.9,6,43,0,0
26,Male,Low,2.75,65.4,2,2.9,2,31,1,1
24,Male,Low,2.68,93.5,3,3.9,3,27,0,0
22,Male,Low,2.12,,19,7.7,0,38,0,0
29,Female,Medium,2.97,62.4,14,5,2,31,0,0
27,Male,Medium,2.22,51.8,14,12.9,8,76,1,1
24,Male,Low,2.5,55.1,12,7.1,9,78,1,1
26,Female,High,2.63,86.4,8,12,4,17,1,0
18,Male,Low,3.62,60,9,8.7,7,69,0,0
24,Male,High,3.75,68.6,11,11.6,1,10,0,0
23,Female,Low,2.6,75.1,13,5,2,31,0,0
27,Female,High,3.72,86.3,0,12.5,6,19,0,1
29,Female,Low,3.71,55.7,13,4.1,9,96,1,0
26,Female,High,3.53,70.3,13,8.2,3,39,1,0
18,Female,Low,2.29,74.3,7,3.2,8,7,1,0
21,Female,Low,3.38,77,15,7.1,6,34,0,0
26,Female,High,3.89,90.9,13,4.8,0,68,0,0
21,Male,Medium,3.37,58.6,0,4,3,98,1,1
27,Female,High,2.66,90.4,15,14.5,9,77,0,0
20,Female,Medium,3,84.6,17,2.4,5,20,1,0
26,Female,Low,3.29,77.8,6,11.8,5,23,0,0
19,Male,High,3.02,85,14,14.8,9,16,0,0
21,Male,High,2.24,70.6,16,0.3,5,17,0,1
23,Female,High,2.62,56.9,18,10.5,4,97,0,1
19,Female,Medium,3.6,83.3,12,3.8,2,11,0,0
25,Female,Medium,3.72,76.2,8,0.6,1,15,1,0
25,Male,Low,2.27,82,14,6,2,3,1,0
18,Male,Medium,3.9,66.9,2,14,8,88,1,0
29,Female,Medium,2.66,95.3,0,0.2,2,33,0,0
20,Male,Low,3.32,79.4,15,8.8,2,91,1,0
27,Female,High,3.5,54.3,7,7.5,0,45,1,0
26,Male,High,3.62,72.5,12,13.1,1,74,0,0
22,Male,Low,3.89,87.8,7,1.3,2,76,0,0
23,Female,High,2.63,89.7,16,10.2,1,30,1,0
21,Female,Medium,3.72,74.7,13,10.2,7,24,1,0
27,Female,Low,2.26,94.7,6,10,5,73,1,0
19,Female,Low,3.41,63.4,14,14.1,6,23,1,0
28,Male,Low,3.48,70.5,15,12.3,0,64,1,0
25,Male,High,3.36,94.9,18,0.6,5,24,0,0
28,Male,Low,2.5,94.8,5,7.1,1,27,1,0
23,Female,Low,3.75,84.3,0,6,5,35,1,1
22,Male,Low,2.34,92.9,11,4.7,2,81,1,1
26,Female,High,2.11,54.4,17,6.8,6,5,1,0
18,Male,Medium,3.43,93.2,15,5.8,2,65,1,0
22,Female,Low,2.95,66,11,6.5,8,66,1,0
23,Female,Medium,3.7,58.9,19,14.7,2,71,0,0
22,Male,High,2.77,62,12,1.3,6,94,0,0
23,Female,High,2.34,70.9,7,13.8,3,47,0,0
23,Female,High,3.67,62.6,0,7.2,7,82,1,1
24,Male,High,3.1,66,6,9.4,1,69,1,1
21,Female,Medium,2.38,56.7,14,12.5,7,77,0,1
28,Female,Low,3.44,64.8,12,5.4,8,66,1,0
25,Female,High,3.02,78.6,12,6.5,7,47,1,0
24,Male,High,3.21,72.1,8,6.1,5,64,1,0
26,Male,Medium,2.92,67.3,14,5.6,9,43,0,0
24,Female,Medium,3.66,87.3,3,13.9,0,93,0,1
20,Male,High,3.66,94.7,12,12.4,6,62,0,0
20,Female,Low,3.42,87.8,11,1.6,0,45,1,0
25,Female,Low,2.21,66.6,4,1.6,6,18,0,1
22,Female,High,3.68,87.2,6,6.4,1,63,0,0
21,Female,Medium,3.34,57.6,7,1.5,7,82,0,1
25,Female,High,3.39,56.5,4,9.3,1,72,1,1
23,Male,High,2.73,67.3,8,2.2,2,70,0,0
19,Female,Medium,3.76,90.4,13,7.8,2,49,0,0
21,Male,High,3.45,62.3,11,0.1,0,62,1,0
29,Male,High,2.23,53.2,3,4.7,4,40,0,1
28,Female,High,2.82,56.6,19,10.2,4,6,1,0
21,Female,Medium,3.77,92.9,7,7.3,9,8,1,0
23,Male,Low,2.09,81.7,16,14.7,4,3,0,1
23,Male,Low,3.92,62.7,7,13.1,8,88,0,0
18,Male,Medium,3.36,77.8,0,5.4,5,48,0,0
25,Female,Low,3.26,76.4,19,0.7,5,75,1,0
23,Male,High,2.54,82.8,1,12.7,2,5,0,1
20,Female,Low,2.5,61.7,3,13.7,4,81,0,1
26,Female,High,3.88,93.2,0,12.3,9,20,0,0
19,Female,Low,2.6,65.5,6,1.9,6,14,1,0
28,Male,Medium,3.55,84.7,0,15,2,66,1,0
25,Female,Low,2.79,50.8,8,3.9,1,65,1,0
27,Female,Low,2.28,68.6,2,10.9,4,55,0,1
20,Female,Low,2.02,67.6,11,13.6,2,67,0,0
29,Female,Medium,3.09,77.2,18,3.5,4,31,1,0
22,Female,Low,3.95,53.6,14,13.6,8,65,0,0
23,Male,Medium,2.74,89.5,15,4.6,9,28,0,0
27,Female,High,2.71,60.9,9,14.6,0,65,1,0
23,Female,Low,2.69,83.9,5,4.2,3,33,1,0
21,Male,Medium,3.04,90.2,16,14.3,9,26,1,0
20,Female,Medium,2.88,78.1,16,0.8,4,59,0,0
21,Male,Low,3.76,87,18,10.6,1,38,0,0
18,Female,High,3.01,83.1,17,8,1,43,0,0
21,Male,Medium,3.02,67.8,10,7.2,0,81,1,0
18,Male,Low,2.28,90.4,6,3.4,7,35,1,0
29,Female,High,3.97,64.7,9,10.6,1,18,0,1
18,Female,Medium,2.5,78.6,6,2.9,2,90,1,0
27,Female,Medium,2.15,87.3,4,8.3,1,44,1,1
23,Male,High,3.33,68.9,11,3.8,3,83,0,0
22,Male,High,3.19,65.1,15,14.3,0,20,1,0
28,Male,Low,2.83,73,17,0.4,2,22,0,0
21,Female,Low,2.84,90.9,2,3,4,93,1,1
28,Male,Medium,3.57,96.5,19,3.6,9,88,0,0
20,Male,High,2.39,77.3,14,6.2,0,94,1,0
18,Female,High,3.64,83.1,4,3.5,3,26,0,0
23,Male,High,3.3,95.2,12,7.4,5,97,1,0
19,Male,Medium,2.84,54.9,18,13.1,3,71,1,0
25,Female,High,2.92,61.6,11,10.7,6,18,1,0
27,Male,High,2.51,85.4,4,8.7,6,40,1,0
22,Female,Medium,3.5,91.2,5,1.3,5,25,1,0
24,Female,Low,3.03,92.9,6,10.4,8,27,0,0
27,Female,Low,2.64,70.8,9,2.5,1,63,0,0
29,Female,Medium,3.19,54.5,15,11.8,9,67,0,1
19,Female,High,3.99,71.9,7,3.8,7,94,1,0
25,Male,Medium,2.87,61.5,8,6.3,7,79,0,1
19,Male,Low,3.84,64.6,3,5.3,9,50,1,1
21,Female,Low,2.69,88.6,7,12.9,3,73,1,0
18,Female,Medium,2.11,53.8,6,1.9,5,47,0,1
22,Male,Medium,2.41,91.4,14,8.5,5,9,0,0
26,Female,Low,2.84,71.4,2,2.1,4,72,1,1
18,Female,Medium,2.44,79.8,16,10.6,0,38,1,1
26,Female,Low,2,54.5,10,13.6,2,99,0,0
28,Male,Medium,3.83,66.9,8,6.5,6,99,0,0
25,Male,Medium,3.69,54.5,4,7.3,7,18,1,1
23,Female,Medium,3.48,98.1,9,13.9,1,63,1,0
24,Female,Low,2.34,90.4,14,7.8,2,18,0,1
20,Male,Medium,2.24,73,13,7.3,3,75,1,0
18,Male,Low,2.14,61.2,3,8.7,4,61,1,1
22,Female,Low,3.45,96.7,19,10.3,2,12,0,0
29,Female,Medium,3.86,67.2,1,1.6,4,24,0,0
29,Male,Medium,2.86,58,11,12.3,7,99,1,1
19,Male,Low,2.24,78.2,0,6.5,7,88,1,0
22,Male,Low,3.02,97.2,19,1.1,1,91,0,0
25,Female,High,2.7,50.2,4,11.8,5,41,1,1
28,Male,Low,2.75,61.9,5,5.7,3,38,0,0
26,Female,High,3.24,96.9,10,1.5,8,29,1,0
19,Male,High,3.44,58.6,7,9.5,9,4,0,0
29,Male,High,2.22,55.7,6,13.2,1,80,1,0
20,Male,Medium,2.07,78.5,3,13.3,7,17,1,1
20,Male,Medium,3.99,93.1,5,14.4,0,20,1,0
18,Female,Low,2.47,73.9,15,13,5,85,0,0
25,Female,High,2.11,99.7,19,0,9,49,0,0
23,Male,Medium,2.38,84,14,5.7,0,5,0,0
29,Female,Medium,2.08,53.7,13,12.3,1,49,1,1
25,Male,Medium,2.78,99.6,11,5.5,2,79,1,0
28,Male,Medium,3.6,70.4,11,9,8,65,0,0
26,Male,Medium,2.68,64.4,15,9.1,4,0,0,0
22,Male,High,2.89,77.9,14,5.5,9,56,1,0
29,Female,High,3.35,65.2,12,13.6,9,29,1,0
20,Male,High,3.02,54.3,10,7.5,1,57,1,1
22,Male,High,3.72,50.1,16,7,9,51,1,0
22,Female,Low,3.73,72.5,14,15,4,36,0,0
22,Male,High,2.02,91.8,13,7.4,4,47,0,0
20,Male,Medium,3.56,78.6,9,2.7,0,86,1,0
28,Male,High,2.92,100,11,7.7,2,0,1,0
27,Female,Low,3.98,64.3,15,12.2,4,18,1,1
21,Male,Medium,2.97,64,14,11.7,8,45,0,1
26,Female,High,3.97,58,9,11.8,9,66,0,0
27,Male,High,3.51,58.2,3,10.6,0,1,1,1
26,Male,High,2.5,64.3,8,3.8,7,55,1,0
19,Female,Medium,3.08,89.6,19,12.9,0,16,1,0
25,Male,Medium,3.98,95.3,8,13.4,8,91,1,0
25,Male,Low,3.72,98.8,19,2.9,5,81,1,0
24,Female,Medium,2.19,61.6,10,2,0,96,1,1
25,Female,Medium,3.41,94.1,10,14.6,7,78,0,0
20,Female,High,2.69,66.4,6,13,4,21,0,1
23,Female,Medium,2.01,55.6,9,13.4,6,26,0,0
18,Female,High,2.81,93.5,3,13.3,6,54,1,1
24,Male,High,2.47,81.8,4,8.1,6,31,1,1
18,Female,Medium,3.64,58.2,4,9.7,5,59,1,1
26,Male,Low,2.67,71.5,10,8.2,7,82,0,0
18,Male,Low,3.66,64.4,8,0.8,8,27,1,0
18,Male,Medium,2,86.8,15,11.2,1,27,0,0
24,Female,Low,2.62,72.7,8,7.6,6,73,1,0
19,Female,High,2.48,99.5,3,9.7,1,83,1,1
22,Male,High,2.47,52.7,1,7.5,5,24,1,1
25,Female,Medium,2.14,67.8,13,,1,84,0,0
25,Female,Low,2.37,74.1,2,2.6,9,77,0,0
20,Female,Low,3.11,75.2,17,4.2,5,85,0,0
24,Female,High,2.58,65.8,5,2.4,1,25,1,0
20,Male,Medium,2.83,86.5,10,2.9,0,74,0,0
23,Male,Low,2.75,93.7,17,14.6,6,70,1,0
23,Female,Medium,3.75,96.9,11,2.3,2,16,1,0
20,Male,Low,3.81,90.3,4,4,3,81,0,0
24,Female,High,2.99,92.5,8,8.9,5,6,0,0
20,Female,High,2.66,77.5,19,9.2,4,55,1,0
25,Male,Medium,2.21,91.3,17,2.3,3,63,1,0
27,Male,High,3.91,65.2,18,11.9,8,19,1,0
21,Male,Low,2.12,69.9,2,11.8,5,37,1,1
18,Female,High,2.6,65.8,8,3.6,5,74,0,1
21,Male,Medium,2.6,73.4,3,4.3,1,57,0,0
24,Female,Medium,2.64,64.3,16,14.1,5,15,0,1
28,Male,Medium,2.33,98.1,16,12.4,6,50,1,0
21,Male,Low,3.57,65.6,1,10.5,7,26,1,1
23,Female,Low,2.24,54.9,8,1.2,7,50,1,1
26,Female,Low,3.27,76.3,8,6.3,8,74,0,0
18,Female,Low,2.25,52.9,4,8.4,9,15,1,1
22,Female,Low,2.14,55.5,14,2.8,2,86,1,1
28,Female,High,3.82,61,14,6.7,9,59,0,1
24,Female,Low,2.38,73.2,2,9,6,75,0,1
18,Female,Low,3.64,71.7,18,4.9,6,39,1,0
21,Female,High,3.09,90,2,11.7,0,66,0,0
23,Male,Low,2.16,87,5,12.6,7,1,1,0
19,Female,Medium,3.91,71.3,3,4.9,3,47,0,0
27,Female,Low,2.49,66.7,12,12.6,4,51,1,1
22,Male,Low,3.72,65.8,12,1.6,5,23,0,1
28,Female,Medium,2.34,88.7,10,12.6,2,92,0,1
27,Male,Medium,3.71,52.6,4,2.3,4,97,0,1
18,Male,Medium,2.03,50.6,0,1.2,9,83,0,1
23,Female,Medium,3.02,89.8,8,9.6,4,81,1,0
23,Male,Low,3.54,73.9,16,7.1,0,77,1,0
21,Female,Medium,3.87,56.5,0,13.6,2,81,0,0
25,Male,Medium,3.82,61.8,2,5.4,2,1,1,1
21,Male,High,3.64,96.6,14,4.3,0,64,0,0
25,Male,Medium,3.78,93,9,7.5,6,19,0,0
25,Female,Medium,2.4,85.5,7,6.8,0,33,1,0
22,Female,High,2.57,74.1,11,5.2,6,40,1,0
21,Male,High,2.58,76,14,10.4,3,40,1,0
29,Male,Low,2.75,98.8,8,11.4,8,74,1,0
19,Female,High,2.79,98.3,9,12.8,6,90,1,0
28,Female,Low,3.09,60.8,19,14.6,4,22,1,0
20,Male,High,2.32,90.6,8,4,6,37,1,0
20,Male,High,3.38,59.9,14,10.7,8,43,0,1
21,Female,Low,2.34,60.7,0,5.9,9,66,1,1
21,Female,High,2.62,83.8,1,10.2,5,61,0,1
27,Female,Low,3.01,70.3,18,7.1,0,11,1,0
28,Female,High,3.59,96.6,13,14.9,5,29,1,0
28,Female,Medium,3.48,54.5,7,10.9,0,94,0,1
22,Male,High,3.29,75.6,5,14.3,3,86,0,0
21,Female,Low,2.31,95.9,11,12.5,7,64,0,1
28,Male,High,3.09,95.2,14,13.5,4,40,0,0
27,Female,Low,2.17,57.8,13,12.2,4,19,1,0
25,Male,Low,2.75,68.3,0,6.9,9,5,1,1
23,Female,Medium,2.83,81,10,3.8,7,74,0,0
23,Female,Medium,2.08,58,2,5.6,7,98,0,1
25,Male,Low,2.55,98.4,18,0.3,0,3,1,0
24,Male,High,3.91,95.7,17,7.9,4,92,1,0
27,Female,Low,3.91,58.3,19,7.6,4,9,0,1
28,Female,Low,2.7,56.1,1,7.9,7,50,1,1
29,Female,High,2.09,54.3,6,14.6,0,92,1,1
27,Female,High,2.36,95.5,7,13.7,6,37,0,0
25,Female,High,2.78,59.7,18,2.4,6,0,0,1
19,Male,High,3.9,70.8,14,5.5,8,7,0,0
26,Male,Low,2.28,72.4,9,6.4,1,80,0,0
18,Female,Low,3.53,80,0,5.4,2,82,1,1
25,Male,Medium,2.22,53.6,5,12,3,62,0,1
29,Male,Low,3.96,61.3,12,7.9,0,32,1,1
28,Male,High,2.76,96.6,13,8.6,6,14,1,0
29,Female,Medium,3.55,95.4,2,12.8,9,30,1,1
29,Male,High,2.69,89.1,10,12.1,2,20,1,0
21,Female,Low,3.26,51,2,2,2,2,0,1
21,Male,Medium,2.38,66.4,18,10.7,2,65,1,1
22,Female,High,2.29,81.4,9,6.5,7,34,0,0
25,Male,Medium,3.88,63.8,14,4.4,8,40,1,0
22,Female,Medium,3.84,95.5,10,0.8,9,58,0,0
25,Female,Low,3.77,81.7,14,7.3,1,15,1,0
27,Male,High,3.25,53.6,12,5.3,9,55,1,1
18,Female,Medium,3.62,95.5,4,3.8,9,44,0,1
29,Female,Medium,2.14,97.9,3,10.4,0,58,0,1
27,Female,High,2.67,53.9,12,11.5,8,49,0,0
26,Female,Medium,2.63,76.6,8,3.7,5,84,0,0
23,Female,Medium,3.27,65.2,16,0.7,8,11,1,0
20,Female,Medium,2.71,69.6,1,12.7,5,91,1,0
25,Female,High,2.3,59,4,0.1,1,11,1,1
26,Female,High,3.19,78.9,15,14.1,0,32,1,0
23,Male,High,3.63,97.9,6,9.4,7,83,1,0
28,Male,High,2.76,75.2,0,4.8,2,48,0,0
24,Female,Low,2.26,54.1,11,3.7,0,20,0,1
18,Female,Medium,2.39,81,10,0.1,7,59,1,0
22,Male,High,2.47,67,11,3.5,0,51,0,0
22,Male,Medium,2.6,92.8,18,2.1,7,53,1,0
27,Male,Medium,3.29,71.7,11,9.2,0,38,1,0
21,Female,Low,3.2,59.6,11,2.5,8,48,0,0
23,Male,High,3.39,59.6,13,7.9,8,63,1,1
24,Female,High,2.73,88.4,1,8.9,8,99,0,1
26,Female,Medium,3.65,63.3,1,4.5,2,85,1,1
18,Male,High,2.41,88.4,3,0.5,3,25,0,1
23,Female,Medium,2.94,60.3,19,0.6,4,70,1,0
24,Female,Medium,3.6,66.1,15,0.4,5,6,1,0
20,Female,Low,2.36,73.3,9,11.1,8,71,0,0
25,Female,Low,2.22,97.2,12,4.8,3,61,1,0
22,Male,Low,3.77,96.6,1,11.9,5,89,1,1
26,Male,Medium,2.69,60.3,2,6.5,0,87,0,1
22,Female,High,3.37,67.9,18,6.8,1,23,0,1
26,Female,Low,2.05,57.5,5,7.7,7,39,0,1
27,Male,High,3.38,75.5,18,10.7,3,75,1,0
21,Female,Low,2.63,73,19,4.1,9,46,0,0
26,Male,Low,2.11,95,18,1.8,6,7,0,0
22,Female,Medium,3.22,96.5,7,8.3,3,53,0,0
27,Female,Low,2.48,69.2,13,4.9,8,8,1,0
26,Male,Low,2.77,74.6,9,6.6,8,2,0,0
20,Male,Medium,2.16,94.8,2,9.7,3,53,1,1
21,Male,High,2.29,90.3,5,7.4,7,20,1,1
26,Male,Low,2.6,50.2,14,9.3,5,94,0,0
27,Female,Medium,2.18,66,17,8.2,0,47,1,1
28,Male,Low,3.82,71.1,13,11.1,6,46,1,0
23,Female,Medium,2.01,61.5,18,10.6,0,87,1,0
19,Male,High,2.97,60,9,8,2,67,1,1
24,Male,High,2.25,51.9,14,10.2,7,83,1,1
19,Female,Medium,2.62,82.2,3,13.1,8,62,0,0
28,Male,Medium,3.85,63.1,1,6.5,2,15,0,0
19,Male,Medium,2.32,52.6,2,6.2,0,73,0,1
28,Male,High,3.93,61.5,6,11.5,0,89,1,0
18,Male,Low,2.41,90.1,15,8.7,6,92,0,1
28,Female,High,3.48,92.6,9,1.1,4,4,1,0
28,Female,Medium,3.09,74.2,18,13.4,0,10,1,0
29,Male,Medium,3.77,70.8,16,0.5,5,28,1,0
28,Male,High,3.11,98.9,18,11.2,5,78,1,0
20,Male,Medium,3.07,60,4,11.4,3,69,0,1
23,Female,High,2.39,60.8,19,14.3,6,47,1,0
25,Female,Medium,2.33,64.6,12,0.8,6,14,0,1
26,Female,Low,3.83,58.6,12,9,8,83,0,0
24,Female,Low,2.66,69,10,6.4,0,33,1,0
21,Male,Medium,2.74,95.5,10,5,4,59,0,0
23,Male,High,3.52,80.8,15,1.4,9,61,0,0
22,Male,Low,2.68,70.6,14,8.4,2,1,0,0
25,Female,High,3.9,96.7,16,7.2,6,79,1,0
18,Male,Medium,3.48,52.4,17,1.6,3,18,1,0
18,Female,High,3.19,60.5,18,9.2,3,97,1,0
28,Female,Low,3.76,78.3,3,11.1,0,48,0,0
23,Male,High,2.1,80.8,4,11.5,0,77,0,1
27,Male,High,2.51,52,6,13.6,9,87,1,1
29,Male,Medium,2.93,70.2,1,6.1,1,27,1,0
19,Female,Medium,2.45,82.5,0,14.3,1,47,0,1
22,Female,Medium,3.49,84.9,11,13,0,95,1,0
18,Male,Low,3.84,81.9,9,4.4,7,36,1,0
24,Male,Low,2.85,66,7,2.4,5,73,0,0
18,Female,Medium,2.68,54.7,0,6.5,5,48,0,1
21,Male,Medium,3.92,71.4,11,6,9,47,1,0
26,Female,Low,2.89,56.4,1,8.6,9,72,1,1
18,Female,Low,2.98,97.4,9,8.8,8,87,1,0
21,Male,Low,2.7,73.8,16,11.2,4,99,1,0
23,Male,Low,3.82,65.9,2,7.6,3,28,0,0
23,Male,Medium,3.14,88.3,6,1.6,5,59,1,0
29,Male,Low,3.52,74.9,11,12.9,7,28,1,0
25,Female,Medium,3.62,65.5,7,4.6,0,57,0,0
18,Female,High,2.68,90.6,19,14.6,6,47,0,0
24,Female,High,2.87,93.4,11,1.8,7,22,0,0
18,Male,Low,3.7,83.7,2,14.4,8,26,0,0
24,Female,High,2.73,52.3,16,1.4,7,94,0,0
20,Male,High,3.59,78.3,8,3.5,6,6,0,0
28,Male,High,3.88,88.2,9,0.7,2,48,0,0
25,Male,Low,3.25,56.8,5,10.6,1,53,1,0
20,Male,Low,3.48,61.4,0,12.8,2,67,1,1
18,Male,High,3.61,94.1,11,6.5,3,77,0,0
25,Male,Medium,3.69,51,4,13.9,3,41,1,1
20,Female,High,2.79,87.6,12,8.9,5,73,1,0
19,Male,Low,2.1,73.7,14,9.5,6,58,0,0
18,Female,Low,2.8,72.3,10,12.7,3,43,0,0
20,Female,Low,3.35,50.4,7,4.5,9,97,0,0
19,Male,High,2.9,91,4,5.3,5,25,0,0
19,Male,Medium,3.5,68,1,13.6,8,22,0,1
23,Male,Low,2.71,77,11,13.5,5,72,1,0
29,Female,Low,3.27,83.9,1,14.6,2,7,1,1
18,Male,High,2.37,85.1,15,13.5,0,52,0,1
19,Female,Medium,3.5,97.8,2,1.9,9,13,0,0
23,Male,High,3.09,76.6,9,12.4,9,70,1,0
20,Male,Low,2.41,70,18,6.1,4,6,1,1
21,Female,Medium,2.58,97.7,7,14.9,9,8,1,0
18,Female,Medium,3.5,82.1,6,7.1,9,2,0,0
25,Male,Low,2.97,64.9,0,8.3,2,77,0,1
24,Female,Medium,2.43,56.3,11,7.9,7,16,1,0
24,Female,Medium,3.93,92.1,4,4.8,9,43,0,0
20,Female,High,3.43,68.1,15,1.1,0,85,1,0
27,Female,Low,3.91,83,3,13.4,1,45,0,0
27,Female,Low,2.85,73.5,16,12,2,89,0,0
20,Male,Low,2.95,59.9,1,2.1,2,57,1,1
19,Male,Low,3.8,80.1,11,11.7,7,27,1,0
29,Female,Low,3.05,53,0,9.4,4,13,0,0
18,Male,Medium,3.41,70.7,11,6.1,7,8,1,0
24,Male,High,2.5,77.3,11,3.8,5,25,0,0
24,Female,Low,2.89,71.8,11,12.9,1,1,1,0
29,Male,High,2.25,87.4,18,10.5,3,74,1,1
19,Female,High,2.41,91.4,16,8.2,8,80,0,1
24,Female,Medium,2,88.6,19,9.1,3,33,0,1
25,Male,Low,2.08,51.9,10,1.4,4,18,0,1
18,Female,Medium,3.95,59.7,12,7.1,4,38,1,0
26,Female,Low,2.48,76.8,7,2.9,9,81,1,0
24,Female,Medium,3.33,96.7,9,3.1,7,12,0,0
20,Female,High,3.68,91.7,7,9.9,5,4,1,0
25,Female,Low,3.1,92.1,19,13.7,9,49,0,0
24,Male,High,2.31,65.2,7,6.1,6,22,0,1
28,Male,High,3.46,71.5,8,3.1,5,87,0,0
25,Female,Medium,3.2,73.5,6,9.7,4,28,0,0
23,Female,Low,3.46,57.9,13,13.1,4,71,0,0
26,Male,High,3.54,51.6,1,11.2,2,25,1,1
22,Female,Medium,3.95,97.3,10,13,6,78,1,0
20,Male,Low,3.15,62,7,8,9,56,0,0
20,Female,Low,2.68,62,12,11.3,4,0,1,0
18,Female,High,3.3,54.2,14,2.1,6,27,0,0
29,Female,Low,2.14,96.4,2,5.2,1,61,1,0
25,Female,High,3.79,79,13,5.8,8,46,1,0
19,Female,Low,2.24,83.4,14,7.7,7,77,0,1
20,Female,Medium,2.66,95.6,1,13.9,4,97,1,0
25,Female,High,3.63,67.3,18,13.1,1,58,0,0
25,Male,High,3.19,81.1,11,2,5,30,1,0
28,Male,Low,2.79,51.9,19,2.6,7,69,0,0
21,Male,Low,2.95,59.3,3,5.4,6,48,0,0
21,Female,High,3.71,91.6,2,4.4,7,4,0,0
22,Female,Low,2.68,88.3,4,9.2,3,30,0,0
23,Female,Medium,3.74,67.5,2,13.5,2,36,0,1
22,Female,Low,2.18,68.8,14,14.4,6,78,0,0
24,Female,Medium,3.55,76.7,18,9.8,1,14,1,0
19,Female,Medium,3.7,50,1,12.6,4,51,0,1
24,Female,Medium,2.36,62.1,11,7.9,6,68,1,1
27,Male,Medium,2.86,60.4,4,3.1,0,91,0,0
24,Female,Medium,2.33,62.5,16,7.9,3,96,1,0
18,Male,Low,3.41,90.3,13,8.3,1,10,0,0
24,Male,Medium,3.07,64,9,11.1,5,42,0,0
22,Female,Low,3.27,59.6,2,3.3,0,69,1,0
20,Female,Medium,2.39,75.2,3,5.5,6,22,0,1
20,Male,High,2.42,93.3,5,5.5,2,39,0,0
21,Male,Medium,2.08,62.1,15,14.4,0,62,0,0
29,Female,High,2.64,53.9,6,6.7,7,1,0,0
19,Female,Medium,3.12,67.8,14,11.3,6,78,1,1
19,Male,Medium,3.72,87.4,19,11.3,1,86,0,0
18,Female,Medium,3.33,77.5,10,4,6,85,1,0
22,Female,High,2.87,90.8,0,8.6,2,72,0,0
21,Female,High,3.91,98,4,13.4,8,46,0,1
28,Male,Medium,3.44,89.6,12,7.1,7,29,0,0
27,Male,Low,3.86,80.2,13,14.2,4,15,0,0
19,Male,Medium,3.06,74.7,8,3.2,6,58,1,0
20,Female,High,2.52,52,16,1.1,2,46,0,1
24,Female,Medium,2.11,99.2,14,13.4,0,29,0,0
24,Male,High,3.45,69.2,6,12.7,0,8,0,0
29,Male,High,2.24,57.6,11,14.9,1,64,1,1
21,Male,High,2.61,83.3,5,10.2,7,58,1,0
22,Female,Medium,3.06,64.2,15,14.1,0,63,1,0
22,Male,High,3.13,79.3,4,12.4,4,7,1,1
23,Male,High,3.2,79.3,8,12.7,8,51,0,0
26,Female,Medium,2.33,72.3,13,8.5,8,17,0,0
19,Female,High,2.76,91.8,7,5.7,1,90,1,0
22,Female,Medium,3.23,63.2,13,14,6,81,0,0
29,Male,High,3.94,72.4,11,6.5,0,95,0,0
20,Female,Low,3.46,76.9,9,8.1,2,57,1,0
21,Female,Low,3.85,83.2,19,6.7,5,48,0,0
27,Male,High,3.52,89.2,19,8.5,8,31,1,0
23,Female,Low,3.18,69.7,12,7.1,9,47,1,0
29,Male,Medium,2.38,82.3,18,0.7,1,44,1,1
25,Male,Low,3.33,57.5,14,13.2,6,53,1,0
18,Female,High,3.25,96.6,7,6.7,3,99,1,0
27,Female,High,3.2,69.2,9,8.8,1,99,1,1
25,Female,Medium,2.98,86.5,2,2.1,2,84,0,0
28,Female,High,3.06,51,2,0.1,5,45,0,0
24,Female,Medium,2.67,60.3,4,3.7,9,95,0,1
18,Female,Low,3.04,74.4,15,10.6,8,30,1,0
19,Male,Low,2.4,93.9,16,1.5,7,36,1,0
20,Male,Medium,3.61,76.4,5,13.6,9,15,1,0
18,Female,Medium,2.37,96.5,19,3.2,8,45,0,0
26,Male,High,2.17,74.2,19,3.1,3,45,0,0
25,Female,Low,2.87,74.5,15,2.7,3,77,1,0
19,Male,Medium,3.32,56,1,0.2,8,87,1,1
26,Male,Low,2.88,90.1,19,11.6,7,88,1,0
24,Male,Medium,2.55,62.3,14,13.1,1,60,1,0
26,Female,Low,3.12,95,17,9.2,7,45,1,0
23,Male,High,2.69,95.5,0,2.8,0,50,0,0
23,Female,Low,3.87,97.2,18,4.3,8,61,1,0
28,Male,Low,3.85,76,11,7.1,8,34,1,0
21,Male,Low,3,83.9,7,14.3,7,80,1,0
27,Male,Low,2.66,88.9,5,3.7,4,41,1,0
27,Male,Low,3.47,56.6,11,11,4,44,0,0
19,Male,High,2.07,80,6,6.6,2,67,1,1
24,Female,Medium,2.95,51.7,17,4.5,4,74,1,0
